Timestamp,Open,High,Low,Close,Volume
2020-01-01 12-AM,7195.23,7196.25,7175.46,7177.02,480.93
2020-01-01 01-AM,7177.02,7230,7175.71,7216.27,836.51
2020-01-01 02-AM,7216.27,7244.87,7211.41,7242.85,626.6
2020-01-01 03-AM,7242.85,7245,7220,7225.01,748.76
2020-01-01 04-AM,7225.01,7230,7215.03,7217.27,442.09
2020-01-01 05-AM,7217.27,7229.76,7216.65,7224.21,331.48
2020-01-01 06-AM,7224.21,7236.27,7221.51,7225.62,592.82
2020-01-01 07-AM,7225.62,7232.94,7199.11,7209.83,600.11
2020-01-01 08-AM,7209.83,7210,7180,7200.64,870.9
2020-01-01 09-AM,7200.64,7210.51,7188,7188.77,597.7
2020-01-01 10-AM,7188.77,7210,7185.2,7202,519.14
2020-01-01 11-AM,7202,7237.73,7188.61,7197.2,1003.74
2020-01-01 12-PM,7197.2,7233.33,7196.15,7225.59,818.73
2020-01-01 01-PM,7225.59,7231.89,7212.88,7221.2,571.45
2020-01-01 02-PM,7221.2,7234.97,7208.17,7221.43,577.26
2020-01-01 03-PM,7221.43,7255,7218.29,7234.19,1256.49
2020-01-01 04-PM,7234.19,7246.42,7214,7245.37,835.92
2020-01-01 05-PM,7245.37,7249.99,7224.92,7236.83,1022.23
2020-01-01 06-PM,7236.83,7246.72,7225.17,7240.67,574.05
2020-01-01 07-PM,7240.67,7241,7225.49,7229.48,402.18
2020-01-01 08-PM,7229.48,7242.98,7224.68,7236.73,378.62
2020-01-01 09-PM,7236.73,7242.75,7227,7233.17,274.92
2020-01-01 10-PM,7233.17,7234.49,7186,7197.99,726.36
2020-01-01 11-PM,7197.99,7204.17,7175.15,7200.85,774.75
2020-01-02 12-AM,7200.85,7212.5,7185.46,7211.02,373.98
2020-01-02 01-AM,7211.02,7211.16,7185.11,7190.99,372.76
2020-01-02 02-AM,7190.99,7191,7155.35,7169.02,1265.12
2020-01-02 03-AM,7169.02,7169.06,7120.37,7129.61,1409.21
2020-01-02 04-AM,7129.61,7161,7116.7,7142.21,1182.93
2020-01-02 05-AM,7142.21,7152.05,7126.93,7138.93,536.5
2020-01-02 06-AM,7138.93,7149.02,7121.43,7135.97,639.65
2020-01-02 07-AM,7135.97,7140.63,7105,7110.57,1434.99
2020-01-02 08-AM,7110.57,7157.48,7109.11,7154.36,1034.09
2020-01-02 09-AM,7154.36,7165,7135.36,7162.01,785.64
2020-01-02 10-AM,7162.01,7180,7153.33,7161.83,1312.2
2020-01-02 11-AM,7161.83,7168.67,7139.03,7139.79,710.2
2020-01-02 12-PM,7139.79,7163.4,7139.03,7158.29,757.44
2020-01-02 01-PM,7158.29,7163.35,7107.43,7131.15,1410.3
2020-01-02 02-PM,7131.15,7157.1,7122.34,7135.59,875.91
2020-01-02 03-PM,7135.59,7152,7120,7130.98,810.47
2020-01-02 04-PM,7130.98,7146.85,7020,7052.32,2996.22
2020-01-02 05-PM,7052.32,7053.09,6924.74,6970.04,5244.63
2020-01-02 06-PM,6970.04,6989.68,6949.96,6974.02,1392.82
2020-01-02 07-PM,6974.02,6995,6960,6983.27,1286.09
2020-01-02 08-PM,6983.27,6983.27,6941.27,6948.49,1049.68
2020-01-02 09-PM,6948.49,6985,6946.2,6977.73,607.34
2020-01-02 10-PM,6977.73,6978.24,6963.02,6974.8,521.92
2020-01-02 11-PM,6974.8,6974.8,6950,6965.71,701.16
2020-01-03 12-AM,6965.71,6966.47,6912.88,6937,1027.22
2020-01-03 01-AM,6937,6946.07,6878.19,6888.85,2012.07
2020-01-03 02-AM,6888.85,6966.8,6871.04,6956.88,2614.16
2020-01-03 03-AM,6956.88,6966.36,6940,6952.04,1195.9
2020-01-03 04-AM,6952.04,7264.71,6948.64,7210.19,8412.13
2020-01-03 05-AM,7210.19,7249,7168.48,7220.47,3255.53
2020-01-03 06-AM,7220.47,7225,7190.14,7202.22,1916.31
2020-01-03 07-AM,7202.22,7232,7185.04,7203.21,2013.23
2020-01-03 08-AM,7203.21,7297.29,7202.28,7260.6,3535.29
2020-01-03 09-AM,7260.6,7358.88,7256.56,7348.42,4897.76
2020-01-03 10-AM,7348.42,7371.92,7281.3,7312.25,3551.5
2020-01-03 11-AM,7312.25,7346,7306.61,7340.46,1653.02
2020-01-03 12-PM,7340.46,7350.19,7303.14,7322.78,1561.25
2020-01-03 01-PM,7322.78,7380,7311.59,7348.87,1718.77
2020-01-03 02-PM,7348.87,7362.31,7229.3,7254.73,4107.5
2020-01-03 03-PM,7254.73,7322.44,7252.48,7320.18,2144.33
2020-01-03 04-PM,7320.18,7405,7293.1,7386.03,5309.39
2020-01-03 05-PM,7386.03,7403.2,7335.21,7355.26,2003.19
2020-01-03 06-PM,7355.26,7369.47,7330.32,7342.96,1338.24
2020-01-03 07-PM,7342.96,7352.33,7280,7343.08,2063.76
2020-01-03 08-PM,7343.08,7361,7297.01,7316.99,1433.34
2020-01-03 09-PM,7316.99,7335,7262.68,7283,1118.19
2020-01-03 10-PM,7283,7320.54,7260.01,7300.56,1271.08
2020-01-03 11-PM,7300.56,7346.08,7291.75,7344.96,1579.57
2020-01-04 12-AM,7344.96,7350,7289.98,7302.24,1125.48
2020-01-04 01-AM,7302.24,7312.58,7280.85,7309.16,754.96
2020-01-04 02-AM,7309.16,7328.99,7296.18,7327.83,825.34
2020-01-04 03-AM,7327.83,7339.69,7318.56,7333.11,720.37
2020-01-04 04-AM,7333.11,7338.46,7312.65,7334.86,649.3
2020-01-04 05-AM,7334.86,7369.28,7325,7344.69,1236.94
2020-01-04 06-AM,7344.69,7367.88,7340,7354.96,1076.73
2020-01-04 07-AM,7354.96,7363.63,7327.32,7348.11,1244.59
2020-01-04 08-AM,7348.11,7365,7330,7346.59,1211.51
2020-01-04 09-AM,7346.59,7369.18,7339.28,7363.88,1005.79
2020-01-04 10-AM,7363.88,7369.63,7304.36,7318.3,1671.23
2020-01-04 11-AM,7318.3,7339.27,7302.1,7336.45,1427.29
2020-01-04 12-PM,7336.45,7339.58,7305,7312.89,1074.36
2020-01-04 01-PM,7312.89,7326.49,7291,7303.88,1439.4
2020-01-04 02-PM,7303.88,7323.74,7296.44,7316.72,819.08
2020-01-04 03-PM,7316.72,7332,7305,7318.99,824.23
2020-01-04 04-PM,7318.99,7323.26,7297.91,7307.11,993.81
2020-01-04 05-PM,7307.11,7352,7305,7351.99,1150.97
2020-01-04 06-PM,7351.99,7404,7272.21,7306.92,3677.43
2020-01-04 07-PM,7306.92,7353.84,7283.01,7334.83,1824.44
2020-01-04 08-PM,7334.83,7352.64,7310.67,7341.06,1333.95
2020-01-04 09-PM,7341.06,7367.31,7330.72,7350.68,794.14
2020-01-04 10-PM,7350.68,7359.7,7342.67,7350.24,445.52
2020-01-04 11-PM,7350.24,7363,7328.9,7354.11,494.37
2020-01-05 12-AM,7354.11,7393,7354.11,7373.48,1337.79
2020-01-05 01-AM,7373.48,7481.87,7373.43,7459.18,5736.3
2020-01-05 02-AM,7459.18,7482.87,7432.79,7443.79,1865.56
2020-01-05 03-AM,7443.79,7478,7439.33,7475.99,1321.4
2020-01-05 04-AM,7475.99,7495,7444,7457.14,1735
2020-01-05 05-AM,7457.14,7470,7444,7459.12,883.27
2020-01-05 06-AM,7459.12,7481.25,7437.4,7457.5,1084.64
2020-01-05 07-AM,7457.5,7470.36,7442,7463.63,831.2
2020-01-05 08-AM,7463.63,7472,7410,7430.05,1474.5
2020-01-05 09-AM,7430.05,7436.84,7400,7427.74,1896.34
2020-01-05 10-AM,7427.74,7432.28,7403.21,7415.12,948.88
2020-01-05 11-AM,7415.12,7440,7410,7422.33,935.26
2020-01-05 12-PM,7422.33,7460.46,7421.93,7457.01,1010.84
2020-01-05 01-PM,7457.01,7458,7415,7431.15,1228.22
2020-01-05 02-PM,7431.15,7444.73,7425,7431.82,750.5
2020-01-05 03-PM,7431.82,7476.31,7430.99,7468.42,1719.67
2020-01-05 04-PM,7468.42,7484,7450,7461.38,1632.46
2020-01-05 05-PM,7461.38,7470.76,7445.15,7464.65,854.84
2020-01-05 06-PM,7464.65,7468.87,7421.77,7438.72,1122.97
2020-01-05 07-PM,7438.72,7449.69,7427.1,7444.14,871.55
2020-01-05 08-PM,7444.14,7445,7426,7431.6,629.21
2020-01-05 09-PM,7431.6,7431.6,7361.01,7368.52,1972.01
2020-01-05 10-PM,7368.52,7385.65,7318,7355.73,1868.77
2020-01-05 11-PM,7355.73,7363.35,7321,7358.75,1288.16
2020-01-06 12-AM,7358.75,7384.72,7346.76,7378.75,1287.08
2020-01-06 01-AM,7378.75,7426.82,7368.55,7423.5,1512.63
2020-01-06 02-AM,7423.5,7562,7421.64,7551.44,5229.8
2020-01-06 03-AM,7551.44,7580,7486.85,7540.9,4312.32
2020-01-06 04-AM,7540.9,7554.61,7516.06,7529.52,1466.67
2020-01-06 05-AM,7529.52,7541.55,7496,7532.85,1339.69
2020-01-06 06-AM,7532.85,7537.53,7510.99,7520,823.13
2020-01-06 07-AM,7520,7527.27,7505.57,7507.91,851.95
2020-01-06 08-AM,7507.91,7551.68,7507.39,7547.55,1581.66
2020-01-06 09-AM,7547.55,7553,7516.51,7550.78,1931.39
2020-01-06 10-AM,7550.78,7576.68,7535.64,7561.22,1712.99
2020-01-06 11-AM,7561.22,7582.27,7526.88,7544.72,1966.7
2020-01-06 12-PM,7544.72,7566.24,7535,7557.42,1386.77
2020-01-06 01-PM,7557.42,7622,7465.44,7528.64,3212.7
2020-01-06 02-PM,7528.64,7558.45,7505.02,7547.93,2191.48
2020-01-06 03-PM,7547.93,7553.28,7516.34,7519.99,1494.07
2020-01-06 04-PM,7519.99,7546.08,7509.43,7529.24,1482.67
2020-01-06 05-PM,7529.24,7561,7526.91,7558.48,1016.8
2020-01-06 06-PM,7558.48,7560,7525.96,7533,858.22
2020-01-06 07-PM,7533,7551.71,7524,7539.9,817.8
2020-01-06 08-PM,7539.9,7557.99,7534.9,7551.25,895.99
2020-01-06 09-PM,7551.25,7608,7547.56,7578.42,1933.63
2020-01-06 10-PM,7578.42,7752,7574.39,7712.63,5747.01
2020-01-06 11-PM,7712.63,7795.34,7690.7,7758,4644.82
2020-01-07 12-AM,7758,8000,7758,7888.42,11181.48
2020-01-07 01-AM,7888.42,7919.99,7866.01,7905.67,3443.49
2020-01-07 02-AM,7905.67,7940,7892.32,7896.2,2448.29
2020-01-07 03-AM,7896.2,7916.94,7885.75,7894.9,1651.46
2020-01-07 04-AM,7894.9,7905.5,7821,7840.83,2902.06
2020-01-07 05-AM,7840.83,7882.56,7826.63,7869.33,1605.33
2020-01-07 06-AM,7869.33,7876,7851.26,7872.91,966.29
2020-01-07 07-AM,7872.91,7896.72,7857.53,7883.37,1581.18
2020-01-07 08-AM,7883.37,7904.72,7868,7883.97,1941.43
2020-01-07 09-AM,7883.97,7886.17,7855,7856.26,1213.8
2020-01-07 10-AM,7856.26,7889.78,7856.15,7889.24,1092.87
2020-01-07 11-AM,7889.24,7965,7881.69,7895.14,3813.14
2020-01-07 12-PM,7895.14,7915.77,7840,7869.05,2881.16
2020-01-07 01-PM,7869.05,7869.05,7810.73,7847.99,2663.73
2020-01-07 02-PM,7847.99,7884.59,7837.26,7838.8,2211.25
2020-01-07 03-PM,7838.8,7847.99,7740.29,7764.59,4660.54
2020-01-07 04-PM,7764.59,7940.12,7723.71,7912.18,5747.62
2020-01-07 05-PM,7912.18,7952.05,7878.01,7938.33,2996.85
2020-01-07 06-PM,7938.33,8137,7919.22,8037.69,8224.11
2020-01-07 07-PM,8037.69,8111.45,8032.39,8073.69,3773.02
2020-01-07 08-PM,8073.69,8175.01,8041.28,8162.66,4060.92
2020-01-07 09-PM,8162.66,8188,7975.74,8016.44,4423.05
2020-01-07 10-PM,8016.44,8067.06,7945.72,8049.55,2751.77
2020-01-07 11-PM,8049.55,8207.68,8020.7,8145.28,3560.08
2020-01-08 12-AM,8145.28,8455,8142,8431.82,11041.87
2020-01-08 01-AM,8431.82,8448.14,8328.89,8370.92,7355.82
2020-01-08 02-AM,8370.92,8422,8256.74,8278.59,4048.91
2020-01-08 03-AM,8278.59,8344,8244.93,8300.34,3947.38
2020-01-08 04-AM,8300.34,8355.87,8288,8344.63,2374.55
2020-01-08 05-AM,8344.63,8377,8307.85,8334.77,2376.44
2020-01-08 06-AM,8334.77,8367.61,8319,8339.13,1562.87
2020-01-08 07-AM,8339.13,8347.99,8277.21,8297.26,2539.82
2020-01-08 08-AM,8297.26,8329.09,8264.86,8312.04,2289.27
2020-01-08 09-AM,8312.04,8321.83,8276,8297.21,1892.3
2020-01-08 10-AM,8297.21,8359,8284.19,8326.98,2168
2020-01-08 11-AM,8326.98,8370,8325.03,8332.47,1881.02
2020-01-08 12-PM,8332.47,8347.33,8276,8286.16,2179.76
2020-01-08 01-PM,8286.16,8418.61,8215.2,8384.99,6630.22
2020-01-08 02-PM,8384.99,8385,8184,8310.98,5730.38
2020-01-08 03-PM,8310.98,8359,8237.36,8305.97,3603.78
2020-01-08 04-PM,8305.97,8335.79,8050,8115,11085.2
2020-01-08 05-PM,8115,8123.98,8010,8077.68,6353.4
2020-01-08 06-PM,8077.68,8094.93,8035.01,8053.7,2715.55
2020-01-08 07-PM,8053.7,8069.73,7963.05,7963.35,3413.94
2020-01-08 08-PM,7963.35,8060.86,7870,8046.03,7871.33
2020-01-08 09-PM,8046.03,8048.66,7957.55,8016.06,2837.66
2020-01-08 10-PM,8016.06,8080,7988.58,8076.13,1917.76
2020-01-08 11-PM,8076.13,8125.57,8023.55,8055.98,2414.51
2020-01-09 12-AM,8055.98,8055.98,7928,7956.55,3152.16
2020-01-09 01-AM,7956.55,8037.37,7950,8004.8,2216.31
2020-01-09 02-AM,8004.8,8026.01,7980,7982.75,1474.94
2020-01-09 03-AM,7982.75,7993.46,7935.56,7954.72,2234.17
2020-01-09 04-AM,7954.72,7978.31,7928,7966.85,1882.76
2020-01-09 05-AM,7966.85,7966.85,7925.68,7941.83,1314.56
2020-01-09 06-AM,7941.83,7951.68,7896,7908.48,1910.28
2020-01-09 07-AM,7908.48,7976.67,7903.4,7949.84,2252.22
2020-01-09 08-AM,7949.84,7955.83,7909.3,7933.1,1542.43
2020-01-09 09-AM,7933.1,7933.1,7864.24,7872.35,3155.85
2020-01-09 10-AM,7872.35,7934.78,7852.01,7896.38,2662.55
2020-01-09 11-AM,7896.38,7901.99,7855,7878.56,1770.85
2020-01-09 12-PM,7878.56,7917.68,7871,7900.91,1945.85
2020-01-09 01-PM,7900.91,7945,7891.43,7897.52,2623.62
2020-01-09 02-PM,7897.52,7919.59,7875.55,7885.5,1752.41
2020-01-09 03-PM,7885.5,7930,7882.75,7907.05,1447.31
2020-01-09 04-PM,7907.05,7920.01,7805.01,7818.15,3923.58
2020-01-09 05-PM,7818.15,7846,7778,7798.6,3623.81
2020-01-09 06-PM,7798.6,7832.13,7788.68,7810.64,1417.51
2020-01-09 07-PM,7810.64,7957.48,7810.3,7917.54,3142.68
2020-01-09 08-PM,7917.54,8000,7805,7818.3,5977.39
2020-01-09 09-PM,7818.3,7854.14,7750,7789.96,4096.03
2020-01-09 10-PM,7789.96,7873.12,7788.78,7811.31,1686.46
2020-01-09 11-PM,7811.31,7835,7790.01,7817.76,1292.89
2020-01-10 12-AM,7817.76,7854.06,7811.05,7820.01,1189.42
2020-01-10 01-AM,7820.01,7841.57,7786.12,7804.99,1166.57
2020-01-10 02-AM,7804.99,7825,7793.34,7803.68,933.79
2020-01-10 03-AM,7803.68,7825,7770,7818.02,1296.58
