Timestamp,Close,Open,High,Low,Volume
2020-06-23,243.20,243.24,244.77,240.94,5160000
2020-06-24,234.75,243.20,249.23,231.56,9130000
2020-06-25,232.56,234.75,235.29,227.99,6480000
2020-06-26,229.67,232.57,233.50,228.16,6960000
2020-06-27,221.06,229.72,231.30,217.11,7210000
2020-06-28,225.09,221.07,227.74,218.46,5910000
2020-06-29,227.87,225.09,229.83,221.60,6800000
2020-06-30,225.63,227.88,228.57,223.23,5600000
2020-07-01,230.95,225.61,232.47,224.33,6310000
2020-07-02,226.42,230.96,232.04,223.53,7280000
2020-07-03,225.12,226.42,228.14,224.77,5200000
2020-07-04,229.15,225.09,230.40,224.80,5450000
2020-07-05,227.98,229.09,229.80,223.79,5410000
2020-07-06,241.56,227.95,241.64,227.10,9450000
2020-07-07,239.25,241.56,243.43,234.92,6260000
2020-07-08,246.99,239.26,248.76,238.00,12980000
2020-07-09,242.02,246.93,247.63,238.28,9020000
2020-07-10,241.26,242.01,242.17,236.19,6840000
2020-07-11,239.20,241.21,241.64,237.76,6420000
2020-07-12,242.75,239.20,243.79,236.91,6810000
2020-07-13,239.73,242.84,245.04,237.71,8320000
2020-07-14,240.50,239.75,242.08,237.21,7070000
2020-07-15,238.62,240.49,241.36,237.04,7350000
2020-07-16,233.65,238.62,239.47,230.44,6630000
2020-07-17,232.75,233.65,234.53,231.84,5880000
2020-07-18,235.75,232.77,236.83,232.40,5790000
2020-07-19,239.01,235.72,239.70,233.35,6610000
2020-07-20,236.10,239.03,239.71,234.51,5360000
2020-07-21,245.53,236.10,246.49,235.67,6290000
2020-07-22,263.28,245.54,266.42,241.89,6680000
2020-07-23,275.34,263.29,279.53,260.70,8790000
2020-07-24,279.33,275.33,287.01,268.54,7170000
2020-07-25,305.32,279.33,308.57,279.33,8590000
2020-07-26,311.13,305.32,318.54,300.33,9190000
2020-07-27,321.80,311.12,332.57,311.04,13730000
2020-07-28,316.96,321.82,326.53,306.40,9910000
2020-07-29,317.82,316.95,324.93,312.64,8720000
2020-07-30,334.87,317.79,341.11,314.83,9070000
2020-07-31,346.51,334.84,349.34,329.02,8690000
2020-08-01,387.14,346.48,392.37,343.33,11030000
2020-08-02,372.08,387.15,415.08,335.76,16380000
2020-08-03,385.80,372.26,397.73,368.46,9920000
2020-08-04,389.62,385.86,402.01,381.30,9840000
2020-08-05,400.79,389.62,406.92,384.84,8740000
2020-08-06,394.83,400.80,403.18,391.67,7920000
2020-08-07,379.57,394.80,398.14,366.44,8340000
2020-08-08,396.76,379.57,396.77,376.38,4940000
2020-08-09,390.23,396.78,399.93,384.31,4970000
2020-08-10,395.53,390.22,399.05,386.45,8010000
2020-08-11,379.01,395.52,398.13,367.38,9440000
2020-08-12,387.12,379.03,389.21,367.05,8590000
2020-08-13,424.31,387.15,430.33,377.57,12040000
2020-08-14,438.03,424.28,443.74,418.37,8670000
2020-08-15,432.18,438.04,442.70,428.75,7270000
2020-08-16,433.63,432.22,436.58,413.22,7020000
2020-08-17,430.56,433.62,444.86,420.71,7830000
2020-08-18,422.16,430.63,433.65,415.45,8180000
2020-08-19,407.44,422.10,426.65,394.51,8440000
2020-08-20,416.05,407.39,418.92,402.80,6230000
2020-08-21,387.99,416.05,418.72,385.21,7620000
2020-08-22,395.56,388.06,396.87,379.96,6730000
2020-08-23,390.50,395.56,396.96,383.42,5360000
2020-08-24,407.70,390.81,410.17,387.62,6690000
2020-08-25,383.20,407.64,409.02,370.40,8280000
2020-08-26,385.96,383.16,392.61,377.63,6690000
2020-08-27,383.11,385.96,396.48,372.53,7030000
2020-08-28,395.11,383.16,397.64,379.80,6160000
2020-08-29,398.80,395.32,405.53,391.97,5230000
2020-08-30,428.86,398.80,429.59,398.47,6670000
2020-08-31,433.90,428.81,438.71,418.35,7890000
2020-09-01,475.80,433.89,488.24,429.65,10420000
2020-09-02,439.08,475.72,480.96,423.26,30140000
2020-09-03,381.97,439.14,466.40,376.99,33590000
2020-09-04,385.94,381.97,399.58,368.22,25200000
2020-09-05,334.91,385.94,394.12,314.13,35320000
2020-09-06,353.49,334.91,358.09,316.69,20130000
2020-09-07,352.06,353.49,357.33,325.47,21690000
2020-09-08,337.46,352.06,355.69,326.66,18980000
2020-09-09,351.10,337.46,358.33,331.12,14070000
2020-09-10,367.92,351.10,376.92,350.86,16500000
2020-09-11,373.72,367.89,374.41,356.38,12530000
2020-09-12,387.98,373.74,388.12,366.05,11490000
2020-09-13,365.71,388.06,389.51,353.85,10380000
2020-09-14,376.70,365.89,383.99,357.54,10340000
2020-09-15,364.01,376.70,381.67,362.40,9060000
2020-09-16,364.88,363.91,372.88,355.18,9060000
2020-09-17,388.97,364.75,393.96,363.54,12850000
2020-09-18,384.20,389.37,392.21,375.81,8950000
2020-09-19,385.25,384.25,386.99,377.63,6740000
2020-09-20,371.12,385.33,385.39,365.48,7300000
2020-09-21,341.30,371.09,375.34,331.41,11410000
2020-09-22,344.03,341.32,346.19,336.15,9290000
2020-09-23,319.95,343.96,344.12,315.54,13880000
2020-09-24,349.17,319.97,352.60,317.27,9400000
2020-09-25,351.63,349.13,357.80,338.01,8470000
2020-09-26,354.25,351.62,355.87,346.95,6480000
2020-09-27,357.23,354.26,362.00,347.51,6350000
2020-09-28,354.08,357.42,367.63,352.57,7770000
