Timestamp,Close,Open,High,Low,Volume
2019-01-01,139.61,131.90,140.51,130.67,3050000
2019-01-02,152.95,139.58,155.93,138.74,5510000
2019-01-03,146.94,152.96,154.30,144.39,4020000
2019-01-04,152.86,146.94,155.40,145.29,4920000
2019-01-05,153.49,152.87,159.78,152.84,4850000
2019-01-06,154.96,153.48,158.29,148.63,4230000
2019-01-07,149.96,154.96,156.36,148.47,2880000
2019-01-08,148.41,149.96,152.21,146.29,3040000
2019-01-09,148.79,148.41,152.57,147.95,2340000
2019-01-10,125.63,148.78,150.09,121.98,6480000
2019-01-11,125.15,125.61,127.83,121.28,3770000
2019-01-12,123.75,125.15,126.15,122.73,2210000
2019-01-13,114.64,123.75,124.09,112.79,2980000
2019-01-14,127.53,114.65,130.30,114.62,3860000
2019-01-15,119.62,127.55,129.60,116.90,4310000
2019-01-16,121.72,119.59,126.50,119.10,3830000
2019-01-17,122.03,121.71,123.03,117.51,3610000
2019-01-18,119.34,122.02,122.19,118.27,2590000
2019-01-19,123.02,119.34,125.37,119.34,3360000
2019-01-20,117.52,123.00,123.52,116.25,3930000
2019-01-21,116.05,117.52,118.04,114.15,4800000
2019-01-22,118.23,116.05,119.47,112.36,5110000
2019-01-23,116.84,118.23,119.01,115.52,4350000
2019-01-24,116.71,116.84,117.32,114.93,4380000
2019-01-25,115.50,116.70,117.41,115.03,4750000
2019-01-26,115.83,115.50,117.63,115.37,3480000
2019-01-27,112.50,115.83,116.24,112.03,4650000
2019-01-28,105.82,112.50,113.14,101.60,7450000
2019-01-29,104.79,105.82,107.32,102.89,5410000
2019-01-30,108.52,104.76,109.67,103.82,5950000
2019-01-31,106.71,108.51,110.56,105.86,5110000
2019-02-01,106.98,106.74,108.54,104.41,4980000
2019-02-02,110.68,106.99,111.16,106.29,4230000
2019-02-03,107.62,110.67,111.25,106.36,5010000
2019-02-04,107.90,107.63,109.24,106.95,5020000
2019-02-05,107.37,107.91,108.32,106.60,4670000
2019-02-06,104.63,107.37,107.67,102.28,6150000
2019-02-07,104.55,104.63,106.12,104.29,5050000
2019-02-08,119.23,104.55,122.58,103.89,9190000
2019-02-09,119.44,119.27,121.09,117.96,5210000
2019-02-10,124.92,119.44,125.46,116.42,6320000
2019-02-11,121.30,124.94,125.05,119.55,6130000
2019-02-12,122.64,121.32,123.99,119.28,5740000
2019-02-13,122.22,122.66,126.17,121.06,6170000
2019-02-14,120.97,122.21,124.46,120.44,5810000
2019-02-15,121.73,120.97,124.00,120.87,5690000
2019-02-16,122.87,121.72,124.50,121.71,5330000
2019-02-17,133.79,122.88,135.27,122.78,8670000
2019-02-18,145.80,133.79,147.64,125.07,11930000
2019-02-19,144.01,145.79,149.84,143.80,9900000
2019-02-20,149.11,144.02,149.46,140.88,8610000
2019-02-21,145.78,149.01,149.55,143.50,7210000
2019-02-22,147.97,145.79,148.83,144.27,6790000
2019-02-23,158.30,147.97,159.31,146.28,8310000
2019-02-24,132.93,158.31,165.79,132.87,14300000
2019-02-25,138.27,132.94,141.57,132.85,10550000
2019-02-26,136.67,138.26,138.66,134.48,11750000
2019-02-27,135.20,136.66,159.60,128.15,16110000
2019-02-28,135.47,135.20,138.56,133.09,16080000
2019-03-01,135.72,135.47,138.06,128.46,9730000
2019-03-02,132.76,135.72,136.36,130.74,11290000
2019-03-03,131.01,132.77,168.42,129.05,10640000
2019-03-04,125.97,131.02,131.57,123.25,14110000
2019-03-05,136.82,125.97,141.11,125.44,16740000
2019-03-06,137.62,136.82,149.49,133.94,14700000
2019-03-07,136.93,137.62,139.98,135.72,13290000
2019-03-08,133.85,136.93,139.45,131.66,12380000
2019-03-09,137.52,133.84,138.57,133.38,10790000
2019-03-10,135.72,137.52,137.75,134.53,9210000
2019-03-11,132.99,135.72,136.23,131.66,11170000
2019-03-12,133.80,132.99,134.93,129.14,13030000
2019-03-13,131.97,133.81,133.84,131.20,9590000
2019-03-14,132.45,131.97,134.82,130.48,9790000
2019-03-15,136.75,132.44,137.68,132.44,12550000
2019-03-16,141.15,136.77,143.95,136.75,16890000
2019-03-17,138.91,141.15,141.17,137.61,9790000
2019-03-18,137.92,138.91,141.87,136.86,12870000
2019-03-19,138.72,137.92,139.50,137.10,10840000
2019-03-20,139.31,138.72,139.75,136.56,10460000
2019-03-21,135.11,139.32,139.74,133.05,12950000
2019-03-22,136.42,135.11,137.44,134.65,10180000
2019-03-23,137.53,136.42,138.30,135.76,9160000
2019-03-24,136.44,137.53,137.53,135.50,9660000
2019-03-25,134.25,136.44,137.05,132.36,11490000
2019-03-26,134.37,134.25,134.99,132.61,9470000
2019-03-27,139.65,134.37,140.08,133.89,15470000
2019-03-28,138.15,139.63,140.33,137.68,9520000
2019-03-29,143.38,138.17,143.53,138.13,12090000
2019-03-30,142.65,143.38,145.85,140.43,12810000
2019-03-31,141.79,142.65,142.69,140.71,9330000
2019-04-01,141.50,141.77,143.28,140.26,11850000
2019-04-02,163.47,141.50,165.42,141.29,36030000
2019-04-03,160.34,163.47,177.29,152.24,47660000
2019-04-04,157.43,160.34,164.33,153.26,13550000
2019-04-05,164.93,157.43,167.34,156.42,10060000
2019-04-06,165.55,164.93,172.53,160.22,10370000
2019-04-07,174.33,165.58,175.37,164.17,9880000
2019-04-08,179.16,174.32,185.54,171.87,14830000
2019-04-09,175.09,179.16,179.24,172.15,10820000
2019-04-10,177.37,175.09,183.49,171.61,12100000
2019-04-11,164.36,177.39,177.63,159.60,11110000
2019-04-12,163.47,164.37,166.08,158.93,7120000
2019-04-13,163.19,163.46,165.27,161.34,5520000
2019-04-14,167.29,163.19,168.18,161.52,5890000
2019-04-15,160.17,167.30,168.63,153.65,7710000
2019-04-16,165.65,160.16,166.64,159.52,7660000
2019-04-17,165.90,165.61,167.21,164.26,7560000
2019-04-18,173.33,165.91,175.02,165.38,10160000
2019-04-19,172.79,173.34,173.41,169.15,9260000
2019-04-20,172.73,172.79,176.71,170.17,8190000
2019-04-21,168.52,172.89,173.42,164.81,8780000
2019-04-22,170.87,168.50,172.32,167.07,8620000
2019-04-23,169.95,170.87,175.92,169.01,10170000
